0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
0000,0000
BC55,3ADC
BC55,3ADC
BC55,3ADC
BC55,3ADC
BC9E,BA60
BC9A,3B25
BCC2,3B1F
BCFF,3B89
BCFF,3B89
BD13,B9F0
BD11,3B3F
BD4A,3A5C
BD4A,3A5C
BD4A,3A5C
BD4A,3A5C
BD79,BB11
BD79,BB11
BD79,BB11
BD79,BB11
BD97,3ABC
BD97,3ABC
BD97,3ABC
BD97,3ABC
BD97,3ABC
BDAC,BB8E
BDAC,BB8E
BDAC,BB8E
BDAC,BB8E
BDBB,3AF4
BDBB,3AF4
BDBB,3AF4
BDBB,3AF4
BDBB,3AF4
BDBA,3BAC
BDD1,3B10
BDD0,3BB6
BDD0,3BB6
BDCF,3C12
BDE6,BB9A
BDE5,BAAE
BDE5,BAAE
BDE5,BAAE
BDF8,3BF0
BDF8,3BF0
BDF8,3BF0
BE04,BBD8
BE03,BB53
BE03,BB53
BE03,BB53
BE03,BB53
BE03,BB53
BE0B,3BCC
BE0B,3BCC
BE0A,3C1D
BE09,3C54
BE0F,BB48
BE0E,39A8
BE0E,39A8
BE1B,3B03
BE1A,3BB0
BE1A,3BB0
BE1A,3BB0
BE1A,3BB0
BE1A,3BB0
BE2D,BBF8
BE2C,BB8A
BE2C,BB8A
BE2C,BB8A
BE2C,BB8A
BE2C,BB8A
BE2C,BB8A
BE2C,BB8A
BE2C,BB8A
BE31,3AE4
BE31,3AE4
BE31,3AE4
BE30,3BA8
BE2F,3C0B
BE33,3C03
BE41,3BC2
BE40,3C18
BE45,BB88
BE45,BB88
BE45,BB88
BE45,BB88
BE45,BB88
BE45,BB88
BE45,BB88
BE45,BB88
BE52,BA04
BE52,BA04
BE52,BA04
BE52,BA04
BE52,BA04
BE52,BA04
BE52,BA04
BE52,BA04
BE51,3B3C
BE50,3BCC
BE58,BBFC
BE62,3A80
BE62,3A80
BE62,3A80
BE62,3A80
BE62,3A80
BE61,3B8E
BE74,BC0D
BE73,BBAC
BE73,BBAC
BE73,BBAC
BE73,BBAC
BE7C,3C01
BE7C,3C01
BE7B,3C38
BE83,3BB3
BE83,3C11
BE83,3C11
BE83,3C11
BE83,3C48
BE89,BAB8
BE89,3B01
BE89,3B01
BE89,3B01
BE89,3BAF
BE90,3B56
BE90,3BDA
BE90,3BDA
BE93,3B87
BE93,3BF6
BE93,3C32
BE93,3C69
BE9A,3C47
BE9D,BB7C
BE9D,B9F8
BE9D,B9F8
BE9D,3B3E
BE9F,3BD2
BEA1,3BCF
BEA8,3C23
BEA8,3C5A
BEAE,3C28
BEAE,3C5F
BEB0,3C13
BEB0,3C4A
BEB2,BA90
BEB2,3B15
BEB6,3B84
BEB6,3BF2
BEBB,3AD4
BEBB,3BA4
BEC2,3BDB
BEC2,3C25
BEC2,3C5C
BECB,3A00
BECB,3B7D
BECB,3B7D
BECB,3B7D
BECB,3BED
BECB,3C2E
BED4,BB18
BED4,3A8A
BED4,3A8A
BED8,3BEE
BED8,3C2E
BED8,3C65
BEDC,3880
BEDD,3B8A
BEDD,3BF8
BEE3,3B94
BEE3,3C01
BEE9,BBBC
BEE9,BB1B
BEED,3BE8
BEED,3C2B
BEF0,3C02
BEF0,3C39
